slug,name,description,price,salePrice,brand,stock,categorySlug,images
kavita-sharma-cyber-crime-and-forensic-computing,Kavita Sharma Cyber Crime and Forensic Computing,"This book presents a comprehensive study of different tools and techniques available to perform network forensics. Also, various aspects of network forensics are reviewed as well as related technologies and their limitations. This helps security practitioners and researchers in better understanding of the problem, current solution space, and future research scope to detect and investigate various network intrusions against such attacks efficiently.",595000,585000,,9,forensics,/images/kavita-sharma-cyber-crime-and-forensic-computing.png
forensic-intelligence-and-deep-learning-solutions-in-crime-investigation,Forensic Intelligence and Deep Learning Solutions in Crime Investigation,"This book discusses the numerous potential applications of deep learning and AI in forensic science. The book discuss how deep learning algorithms and AI technologies transform the role that forensic scientists and investigators play by enabling them toefficiently process, and analyze vast amounts of data with very high accuracy in a short duration",380000,394000,,10,forensics,/images/forensic-intelligence-and-deep-learning-solutions-in-crime-investigation.png
cyber-forensics-examining-emerging-and-hybrid-echnologies-by-albert-j-marcell,Cyber Forensics: Examining Emerging and Hybrid Technologies by Albert J. Marcell,"This book moves beyond the typical, technical approach to discussing cyber forensics processes and procedures. Instead, the authors examine how cyber forensics can be applied to identifying, collecting, and examining evidential data from emerging and hybrid technologies, while taking steps to proactively manage the influence and impact, as well as the policy and governance aspects of these technologies and their effect on business operations.",580000,,,3,forensics,/images/cyber-forensics-examining-emerging-and-hybrid-echnologies-by-albert-j-marcell.png
cyber-security-and-digital-forensics-select-proceedings-of-the-international-conference-redcysec,"Cyber Security and Digital Forensics: Select Proceedings of the International Conference, ReDCySec 2023",The book contains peer-reviewed papers from the International Conference on Recent Developments in Cyber Security organized by the Center for Cyber Security and Cryptology at Sharda University in June 2023.,380000,250000,Springer,19,forensics,/images/cyber-security-and-digital-forensics-select-proceedings-of-the-international-conference-redcysec.png
digital-forensics-explained-by-greg-gogolin-paperback,Digital Forensics Explained by Greg Gogolin Paperback,"This book covers the full life cycle of conducting a mobile and computer digital forensic examination, including planning and performing an investigation as well as report writing and testifying. Case reviews in corporate, civil, and criminal situations are also described from both prosecution and defense perspectives.",348000,,CRC Press,5,forensics,/images/digital-forensics-explained-by-greg-gogolin-paperback.png
computer-networking-and-cybersecurity,Computer Networking and Cybersecurity,"A Guide to Understanding Communications Systems, Internet Connections, and Network Security Along with Protection from Hacking and Cyber Security Threats",576000,,,1,networking,/images/computer-networking-and-cybersecurity.png
the-tcp-ip-guide-a-comprehensive-illustrated-internet-protocols-reference,"The TCP/IP Guide: A Comprehensive, Illustrated Internet Protocols Reference","From Charles M. Kozierok, the creator of the highly regarded www.pcguide.com, comes The TCP/IP Guide. This completely up-to-date, encyclopedic reference on the TCP/IP protocol suite will appeal to newcomers and the seasoned professional alike. Kozierok details the core protocols that make TCP/IP internetworks function and the most important classic TCP/IP applications, integrating IPv6 coverage throughout.",210000,199000,,14,networking,/images/the-tcp-ip-guide-a-comprehensive-illustrated-internet-protocols-reference.png
computer-networking-bible-3-in-1,Computer Networking Bible: [3 in 1],"Specially written for the non-tech-savvy user, this concise and comprehensive handbook reveals how you can design, implement, and manage any computer network. Inside, you�ll discover the essential hardware that forms the backbone of a computer network, the must-know protocols that keep everything running smoothly, and how you can effectively secure your network to protect it from malicious users.",680000,609000,,3,networking,/images/computer-networking-bible.png
networking-made-easy-get-yourself-connected,Networking Made Easy: Get Yourself Connected,"Networking Made Easy is your fast-track guide to developing practical, real-world networking expertise. Designed for those with basic familiarity looking to deepen their understanding, this book bridges the gap between entry-level know-how and confident, working proficiency.",446000,,,7,networking,/images/networking-made-easy-get-yourself-connected.png
network-warrior-everything-you-need-to-know-that-wasnt-on-the-ccna-exam,Network Warrior: Everything You Need to Know That Wasn't on the CCNA Exam,"Pick up where certification exams leave off. With this practical, in-depth guide to the entire network infrastructure, you�??ll learn how to deal with real Cisco networks, rather than the hypothetical situations presented on exams like the CCNA. Network Warrior takes you step by step through the world of routers, switches, firewalls, and other technologies based on the author's extensive field experience. You'll find new content for MPLS, IPv6, VoIP, and wireless in this completely revised second edition, along with examples of Cisco Nexus 5000 and 7000 switches throughout.",453500,,,10,networking,/images/network-warrior-everything-you-need-to-know-that-wasnt-on-the-ccna-exam.png
